ID,Text,Label
facebook_corpus_msr_462570,Wondering why Educated Ambassador is struggling to pay through Credit/Debit at a Decent Restaurant! Cant imagine that diplomat of a Developed nation is not having a Card and he needs Cash only for Dinner.,1
facebook_corpus_msr_450994,Not good job.....this guis creating a problem n our socacity,1
facebook_corpus_msr_443046,absolutely! the deeper you dive the shallower cushion you have .,1
facebook_corpus_msr_2111210,"Brown Sahib , anti national leftist commies , media and Muslim pandering Hindu sick-O-Lars have milked ""secularism"" to all it was worth to render it into a mere failed slogan . Sick-O-Larism has been nothing more than continuation of British policy of ""divide and rule"" . That RSS is opposed to ""the idea of secularism"" , absolutely  because it has been used as a dagger into the heart of Hindus , Hinduism and Hindustan .",1
facebook_corpus_msr_469159,For tht those hv more thn 2 flats or 2 land is legal rest has to surrender properties to govt,1
facebook_corpus_msr_1723874,This problem is occur only in India not in other countries?,1
facebook_corpus_msr_445648,In government office implement the online transactions... also all parties should show off their account transaction for running their elections in RTI.,1
facebook_corpus_msr_382223,Unfortunately this is wat indian govt is capable of doing!!!!...i dint vote for modiji to see such crap..,1
facebook_corpus_msr_445669,People talk about common man suffering all the time.This is the same country where thousands laid their lives for freedom.Cant the common man endure little trouble to stand in queues for the greater good.,1
facebook_corpus_msr_470981,I visited 5 atm but I cont able to withdraw from money..not working..,1
facebook_corpus_msr_450764,"Modi ji,  all the Pain & nö Real Gain.",1
facebook_corpus_msr_334884,"Hell with BJP. All political  parties are corrupt and I do not like anyone. They are there to only make money whomsoever you may vote.  But supporting Naxalites who kill our soldiers,  taking side of JNU students who shout ""Bharat ke tukde Katenge"" and Afzhal Guru tere Katil jinda hai and very recent ""there is nothing wrong in chanting Pakistan zhindabad "" are all attributed to this man. Hence he is decidedly antinational.",1
facebook_corpus_msr_2127025,"udhav has shown bjp its place,bravo shivsena",1
facebook_corpus_msr_326806,Unebeivable atory. Some time back India was wrongly claiming surgical strikes in Pakistan and now claiming surgicam strike  by Pakistan. Wrong again.,1
