ID,Text,Label
facebook_corpus_msr_1033737,4500 se 2000 kyu kiye agar note ki kami nhi to,1
facebook_corpus_msr_1033740,"to fir subah se dophar aur dophar se saam tak line lage rahe aur bank se milta kitna 2,4,6 hajar rupay bas aisa kyu ho raha jab rupay ki kami nahi hai to.........",1
facebook_corpus_msr_1034370,woh bhi band kar do insaan hwaa khakar jeee lega,1
facebook_corpus_msr_1034373,E government ko kaa hogaya h bhaii :::,1
facebook_corpus_msr_1034374,"जनता को कड़क चाय और माल्या समेत 63 को मलाई मार के ?
ई न चोलबे ,साहेब 😌",1
facebook_corpus_msr_1034379,baki ke 2500 500 cr ki wedding walo ke liye bhej diye jynge....f.o,1
facebook_corpus_msr_1034480,"Kya ye modi ki chaal hai mudde se dhyan bhatkane ki, NDTV?",1
facebook_corpus_msr_1034481,Gareebo ki basti me jaakar aab modi kaa maam na lenaa .. Varana vaha to vo modlaa he or saari dil ki bhadash nikaal lege.,1
facebook_corpus_msr_1034482,"Gareebo se mil chuka Bhai wo tho modi ki badaiya kr rhe Maine jbrdasti pucha , Maine modi ki burai bhi ki but wo nhi sunte.",1
facebook_corpus_msr_1034485,tiwari g aaap pakke modi bhakt magte ho,1
facebook_corpus_msr_1034486,Bhai yr hadd hai,1
facebook_corpus_msr_1034487,Ksm se,1
facebook_corpus_msr_1034488,Yr tumhe Jo shi lgta hai kya whi fact hai,1
facebook_corpus_msr_1034489,Maine baat ki problem hai sbko but decision se sb khus hai,1
facebook_corpus_msr_1034491,Bhai so ja Abhi time hai,1
facebook_corpus_msr_1034493,bhai hamara uthne ka time hai aap so jao mai so kar utha hu,1
facebook_corpus_msr_1034494,maine sawal kiya maliya jaiso ka qarz maaf kar ke achcha kiya ????,1
facebook_corpus_msr_1034495,Din ki suruwat ache kamo se krte hai,1
facebook_corpus_msr_1034497,Koi Karz maaf nhi kiya aaj kal ka parliament session nhi dekha?,1
facebook_corpus_msr_1034500,Acha Abhi bhi mante ho malya ko loan maaf kiya ?,1
facebook_corpus_msr_1034506,achcha aap so jaao mai bhul gaya tha aap soye nhi phir kabi baat hogi jab mulaqat hui bahot kuch dikhane wala tha aapko,1
facebook_corpus_msr_1034511,tiwari g uth kar zarur dekhyega or jawab bhi,1
facebook_corpus_msr_1034512,maine bhukamp baba ko bulaya hai. thoda speed badhatey hain. mera business down hai.,1
facebook_corpus_msr_1034513,Kisi ki Haye to nahin ?,1
facebook_corpus_msr_1034519,Kaya MODI ney fir kutch kiya kaya,1
facebook_corpus_msr_1041525,"Are w pm ki maa thi to kiya ho aa use bhi akele line me lagana cha hiye tha, tb hota grw gi baat, itne kre dum mein aam jnta presan hai, bori presan hai kiya kbhi dikhaya ise itna highlight krke",1
facebook_corpus_msr_1041534,Or itna teji ke saath kaam kar rhi govt ka,1
