ID,Text,Sub-task A,Sub-task B,Label
C4.170,Film me dikhaya he college me bandi patao aur 5 saal thukai karo....,NAG,GEN,0
C4.499,"Jinka jinka abhi abhi breakup hoa aur un logo na agar yeh movie dekhli tu smj
lo unn bndo ka loda lag gya....",NAG,GEN,0
C7.1913,"Koi stud teri behen ko college meh chumma deta h bina uski ijazat k ....toh
tereko chalega kya?",NAG,GEN,0
C36.682,Homosexual brave nahi hote.,NAG,GEN,0
C4.790,"Mujhe sabse zyada hasi tab ayi jab character Kabir Singh ka dost ""Shiva"" Kabir
ko uski behen se shaadi karne ka offer deta hai. BC aise bande koi apni behen
koi kaise de sakta hai.",NAG,GEN,0
C7.567,"harmi ho gye kuch pde likhe jo indian culture k liya glt bolte h ..kabir singh
m kuch nhi h esa glt ..pyar krne waalo k liye bhut saandar h ..kbhi pyar kiya
nhi hoga to ese hi bolenge",NAG,GEN,0
C7.2504,"Bhai lakhshy chowdhary me uski barabar li he  
Ek bar dekho vo video",NAG,GEN,0
C7.740.2,"Vo agar Muslim hote to Preeti Ko Talak lene me kafi problems aati, pehle
triple Talak uske bad fir Halala...  
Aur Vaise bhi Kabir fir sharab pita hi nahi kyu ki sharab to haram Hoti hai
maine Suna hai !",NAG,GEN,0
C4.1531,"BHAI AAP ON POINT HO BILKUL KI BOLLYWOOD KE ISS CHUTYAPE SE LOG INFLUENCE HOTE
H.. ABHI 10 DIN PEHLE KI BAAT H EK PSYCHO CHUTYE NE JO TIK TOK PE BHI APNA
RANDI RONA KARTA THA USNE EK LADKI OR 2 LADKO KO MAAR DYA OR PHR BC KHUD BHI
MAR GYA SUAR OR MERE SHEHER BIJNOR KA HI THA OR SALA KABIR SINGH SE BHOT
INFLUENCE THA WO !!!",NAG,GEN,0
C36.717,Toh kya kehta ho bhai aab Indian army maugo ki fauj banai?,NAG,GEN,0
C4.2130.1,@The AK bahi ayushman khurana ki saari movies mai romance h bc bsssss,NAG,GEN,0
C7.1789,Ha bhai fuck boy hi kahte h☺️😊😊😊😊😃,NAG,GEN,0
C7.1006,T-shirt se hi le li feminist ki🤣,NAG,GEN,0
C4.846,Iske pahile Arjun Reddy ayi thi vo Nahi Dekha teki bc,NAG,GEN,0
C36.291,"आर्मी वालोको कंपनी शारीरिक जरूरते पुरी करने के लिये कुछ न कुछ सुविधा उपलब्ध
करवानी चाहिये| अगर सहमत हो तो कमेंट करो|",NAG,GEN,0
C9.322,Moodi k kitne baap hain. Like,NAG,GEN,0
C4.1756,"Sahi baat hai bc... Sabse pehle South Indian wala action hatana chahiye...
Dusra actresses ko item songs ko nai karna chahiye...",NAG,GEN,0
C36.323,"Ek bar ek foaji mila train me raat ko mere piche pad Gaya gaad marne ke liye
kisi tarah bach Gaya",NAG,GEN,0
C7.510.4,Bhai islam me ladkiya feminist nhi hoti,NAG,GEN,0
C4.247,"Bancho movie unrealistic aur main benchod 1st year commerce ka student movie
dekhke MBBS k liye motivate hoke wapas +2 science se krke NEET ka exam deneka
sochra hu ki kuch toh hojaega",NAG,GEN,0
C4.2099,"Ek ladki ke piche 100 ladky hote hai But umar ke hissab se ye sahi lagta h
umar 15-18 ke bich think h career par dayan daina chiye",NAG,GEN,0
C4.2078,"i laughed hard [17:26](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=17m26s)
...  
kabir : maine injection le leiya thaa .  
preeti : [17:26](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=17m26s) arrey
tumne bataya kyu nahi thaa bhosadi ke 😂😂😂",NAG,GEN,0
C4.1169,"[18:58](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=18m58s)\----Apne bhai ki
behn chodta rehta hai😊😊😊😊really????",NAG,GEN,0
C7.807,"Ye tumhare aur mera baat nhi h... Ye baat unpar ladko ka h jo isse hi
inspiration leke crime karenge.",NAG,GEN,0
C7.391,Apni behen ya beti ko koi psycho stalk karega na tab pata chalega,NAG,GEN,0
C9.322.3,"@vivek shahi Namstai uncle Moodi sahib k kitne papa hain. ab thik h bhai ?
tamiz se likha....",NAG,GEN,0
C7.2417.1,"@Aakash kale Exactly, abhi baki chinal o ka bhi negative reviews ana suru ho
jayega",NAG,GEN,0
C7.1620,"Liberals kabir jaise ko bolte hai
[#fuckboy](http://www.youtube.com/results?search_query=%23fuckboy) 😂😂😂 you
nailed it.",NAG,GEN,0
C4.1942,"Crux of Kabir Singh;  
Ladki ke maa baap ni maanrhe,pregnant kr do😆",NAG,GEN,0
C4.1532,"Bhai mai aaj tak kisi v movie se nahi pagal hua but .. mirzapur ke munna ko
dekh ke 6 month tak usi zone me tha .... Bc pagla gaya tha...",NAG,GEN,0
C7.2566.4,Halala web series dekh phir review dena.,NAG,GEN,0
C4.1542,बहुत सही बात यार भाई बहुत अच्छा गु मूवी bc,NAG,GEN,0
C4.131,"Bollywood film dekhne ke samay logic ghar mein chorke ana parta hain.  
Please logic mat ghusao",NAG,NGEN,0
C4.638,Chutiya movie...,NAG,NGEN,0
C29.14.2,Amrit Anand अब तो जुड़े ही है उनको बोलो जुड़ने,NAG,NGEN,0
C7.787.3,"@Pankaj Chauhan abey tum jse aadmiyo ko ye lgta hai to yhi shi..  
Wse tumhare liye jaruri bhi hai..",NAG,NGEN,0
C7.2552,bro house of card ka review karona,NAG,NGEN,0
C7.204,Sahi bola bhai 🙌🙌gg,NAG,NGEN,0
C4.1148,"Hello Mai ek human adviser hu Mai shwetabh gangwar sir bohot kuch shika
hu..but shwetabh sir har ek boy ya girl ke liye video to nhi bana sakhenge to
agar AP ko love break-up addition ect problem h to no-6200845455 contact me
10am to 8pm",NAG,NGEN,0
C7.1989,"Bhai, Apka Video Ka FPS 30 Hai... Good.. Keep It Up...",NAG,NGEN,0
C7.1471,"यह एक संवेदनशील,कठोर,सनक, बेपरवाह, दर्द देने वाला,प्रेम कहानी है",NAG,NGEN,0
C7.1878,"Prateek bhai dho dala....sachhi .....bht hi shaleenta se ...aur bht hi logical
hote hue apne answer diya h...... Feminists jo bhartiya Sanskriti per sawal
uthate h..... they must have to understand....BHARAT me Maa Durga ka place
sabse ucha dikhaya h ......ager ye samjh skte to😊",NAG,NGEN,0
C7.2579,vai empress ki korian drama review koro,NAG,NGEN,0
C4.473.1,@execute sahi kaha bhai😅,NAG,NGEN,0
C21.147,10/10 ......ohhh...ab to dekhna padega bhai,NAG,NGEN,0
C36.967,"Negative positive दोनों h sir 😊 negative ye h ki ham kisi ko uske gender s
judge ni kar sakte uske andar अपने देश के लिए देशभक्ति h tabhi vo army join
karega. Positive ye h ki bipin रावत का कहना सही h ki army m gays r not allowed
उनके army के acts जो कहते h 45 nd 46a.....",NAG,NGEN,0
C4.1425,Netflix bhi faltu chiz mai Masters kara rakha hai.,NAG,NGEN,0
C9.264,Ky sahi bolne se maan liya jaye ga....,NAG,NGEN,0
C25.507,धन्यवाद दीपिका भारद्वाज ।आप सही कह रहीं हैं ।,NAG,NGEN,0
C4.1516,Bolte aap mst h n realistic,NAG,NGEN,0
C4.2059,"**Shwetabh bhaiya, ye galat baat galat hai aap ek dum se bahaut saari videos
daalte hoo phir ek dum gayab!! Isse accha ek hafte/10 din mein ek video
daalo!!**",NAG,NGEN,0
C4.356,The darknight ka review kariye please,NAG,NGEN,0
C7.2371,Roz ki apeksha aaj ka view Acha hai,NAG,NGEN,0
C45.273,Kaunsa jaga h adress do,NAG,NGEN,0
C4.1695,"Menay bi yahi kiya ....  
Abb meri zindgi ky waqai may hi lag gy..😂😂😂",NAG,NGEN,0
C7.516,"Sach kadwa hota hai iska example aap video k dislike dekh ke pata laga sakte
hai",NAG,NGEN,0
C4.2252,Bhai kya baat hai back to back videos...... AUR KAISA HAI LAUNDE,NAG,NGEN,0
C9.266.1,Hindu Muslim dange sirf politics se bhadakte hai..otherwise log peaceful hai,NAG,NGEN,0
C33.184,nice video realety hai bai,NAG,NGEN,0
C4.1434.2,Maine bhi 🙋.Pata nahi movie ne 280 crore kaise kama li.,NAG,NGEN,0
C32.99,"ye short movie bkvas...hai...is sabke..thot..kharab aaye gay LGBT..ke bare..me
koi aesa to nai kare ga Or.. jo..Gay.ho..te..ho vo..ae gunday..nai hote.
Decent Or innacent...hote..koi..aesi.short film..banavo..jise..sabke..vichar
achhhe aaye aese.gande vichar vali mat banvo.plz...😞😞🙏🙏🙏",NAG,NGEN,0
C4.2207,Pura sahi keh rhe ho ap,NAG,NGEN,0
C43.39,Gay hind,NAG,NGEN,0
C21.270.1,@Mayank Tyagi yeah,NAG,NGEN,0
C4.722,Bhai men sutra channey ku band hua?,NAG,NGEN,0
C21.228,"Kisi bhi movie ka vastabik review aap se behetar kohi karhinahisakta. Aap ko
movie review ka oscar milna chahiye. Thanks a lot",NAG,NGEN,0
C21.176,Section 375 and Pailwan dono mast movies hai..,NAG,NGEN,0
C21.24,"Ladke ki glti bhi h ki use ladki ka miss use nhi krna chiye..uske talent ko
dekh kr aage bdana chiye na ki miss use krke or ladki ne..ladke ko ek trh se
glt mukdme pr fasaya h",NAG,NGEN,0
C10.506,Ranga billa...Arnabh,NAG,NGEN,0
C7.945,Shahid kapoor ke bade bhai lagaoge aap(movie me ),NAG,NGEN,0
C33.58,Gadar video ...Bahut hasi aa rahi hai,NAG,NGEN,0
C7.938,Pura movie bata diye app,NAG,NGEN,0
C4.2113,"bhai help plzz .... ma akelepan ki wajah se hard work nahi kar raha... ma na
english seekh pa raha.. dar lag raha ke friends na honey ki wajah se ma
zindagi me kuch bhi nahi kar paongah",NAG,NGEN,0
C9.302,Ranga or billa do zalim tha.,NAG,NGEN,0
C4.68,Maine abhi tak kabir singh movie nhinnn dekhi hain 👍😂😂😂,NAG,NGEN,0
C25.480,ravis ji ab bhul jaao ab ladki esi nhi hai,NAG,NGEN,0
C7.1373,Suchitra Tyagi ko bohot problem hai is movie se,NAG,NGEN,0
C36.752,"The Great Alexandra ne apni army me Gay ko Jayda rakha aur dunya pa Raj kia
tha...",NAG,NGEN,0
C36.1069,thoda physically unfit hone pe nikal dete hai army mai....,NAG,NGEN,0
C38.59,auto wale bhayya best 😗😗😗,NAG,NGEN,0
C10.1365,Yah mail hai ya female hai..,NAG,NGEN,0
C36.424,"Ummmmmm...... Agr kisi m potential h desh ki sewa krne ki to ese uski personal
life se desh ki sewa connect krna thk ni h kuki desh se pyar to desh se pyar
hi hota h uske liye koi b mar mitne ko tyar ho skta h..... Koi b desh ki
raksha krne k lye ye ni sochega k wo gay ya kuch b h to desh ki raksha ku
kre.... is desh m rehta h wo uske b kuch duties h",NAG,NGEN,0
C7.964.4,Ekdum sahi yr,NAG,NGEN,0
C7.1912,"May v apki batose agree karta hu.. asi film oo se hum sabko sikhna chaiye k
kaha galatiya nahi karna.. so thanku so much sir ashi hi acchi.. Videos ki
apeksha karti hu",NAG,NGEN,0
C7.964.1,Sai kha,NAG,NGEN,0
C4.523,Kya banda hai ye,NAG,NGEN,0
C4.1126,"Sahi he bhai  
Bhot hard",NAG,NGEN,0
C59.261,Ranu di jio,NAG,NGEN,0
C4.1314,..swetabh bhai ka yai to mast lgta h way of presentation 😂,NAG,NGEN,0
C4.1318.4,@Manish goplani apko uss movie me pasand kya aaya?,NAG,NGEN,0
C4.2224,movie Dekha nhi par .. chaliye kuch sikhne ko to milega,NAG,NGEN,0
C4.1884,"Shewtaab bhai  
Review on movie joker 🃏 plssss",NAG,NGEN,0
C7.196,Kabir s movie 6/10 hai,NAG,NGEN,0
C4.45,**Kabir Singh movie bilkul bhi** **practical life se related nhi hai**,NAG,NGEN,0
C7.1788,Bhai stranger Things ka full review kar do plz,NAG,NGEN,0
C7.2034,"Lust stories etc sexual movie nahi dekhta or iski jagah porn dekhta hu lo
Karlo judge 😑",NAG,NGEN,0
C38.192,Her kisi ke apni life hae,NAG,NGEN,0
C4.1645,Kabir singh chutiya movie h,NAG,NGEN,0
C7.2480,"Bengali movie Durgeshgorer Guptodhon ki movie review do...  
""Guptodhoner Sondhane"" is available on Prime Video.... Movie review do iska",NAG,NGEN,0
C7.865,"Bohot accha bola
vai....[#loveyoubro](http://www.youtube.com/results?search_query=%23loveyoubro)",NAG,NGEN,0
C9.95,Aise hi hai,NAG,NGEN,0
C4.489,"Yeh bhaijaan jo bol rha hai sahi hai.. Par ek doubt hai agar koi Bollywood Ka
koi director ya producer isko role offer kiya toh yeh kbhi naa nhi kahega🤣🤣🤣",NAG,NGEN,0
C7.559.3,@Rewati Raman Kumar normal movie review bhi tho karr sakta,NAG,NGEN,0
C32.107.2,@Ali Khan MUJHE TOH REPLY DEDO,NAG,NGEN,0
C4.1644,"**Toxic relationship** dekhna hai toh Nana Patekar ki movie dekho **Agni
Sakshi**",NAG,NGEN,0
C4.2130.4,"Kesari  
Andhadhun  
Bhadhai Ho  
Batla House",NAG,NGEN,0
C9.241,Lallantop v bik gaya Kya🤔?,NAG,NGEN,0
C7.754,"Kisi ne comment m kaha tha movie review dekhne aaya tha liberals aur feminist
kya h kisa h sunne nhi.... 😒",NAG,NGEN,0
C7.1922,Bhai issi tarah lage raho i supported you,NAG,NGEN,0
C4.294,Bhai akdam sahi kaha ✌😂,NAG,NGEN,0
C7.1467,"Kya yaar sir apne bohot kharab Kiya  
Spoiler kyu de diya yaaar😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",NAG,NGEN,0
C21.312,Jai sree ram pratik bhaii.. 🙏,NAG,NGEN,0
C7.1949.2,@Sadanand Kamble Bhai mujhe bhi bahut sukun milta hai.,NAG,NGEN,0
C7.842,Kuch jawab do brother ya jawab nahi hai.??,NAG,NGEN,0
C7.276,"Pratik bhai aapne bahut hi achhe tarike se explain kiya hai sab kuch but inko
problem iss movie se nahi hai inki problem iss movie ke hit hone se hai.",NAG,NGEN,0
C7.1668,Thode chote video bnaya karo prateek Sir..,NAG,NGEN,0
C32.146.4,Aapse dosti hogi,NAG,NGEN,0
C4.2191,Me apke sath hu bhai g,NAG,NGEN,0
C4.1810,Bhai Tum anime dekho uski story dekho,NAG,NGEN,0
C32.34.2,@nripen rajbongshi kiya karoge,NAG,NGEN,0
C59.1758,topi wala kotar bala,NAG,NGEN,0
C33.279,Achhi thi bhai,NAG,NGEN,0
C7.811.1,Or ldki ldke ko thappad mare to bo shi h tumhare hisaab se,NAG,NGEN,0
C7.1201.3,Jazib Ali 😂😂😂,NAG,NGEN,0
C36.453,"उच्च न्यायपालिका ने भले ही homosexuals को हमारे देश मे पनाह दी है पर जब तक
हमारा समाज ईसे जड़ से स्वीकार नही कर लेता तब तक हम किसी तरह की बदलाव की उम्मीद
नही कर सक्त: |",NAG,NGEN,0
C36.1128,"Jo v physically mentally eligible h, deshbhagat h, army lover h, Desh ki seva
karna chaahta h army join karkey, usko jaati, ling k Bina kisi bhedbhaav k
chance milna chaahiye... Thanks",NAG,NGEN,0
C4.1030,Thank God Bhai abhi Mai je skta hun..,NAG,NGEN,0
C9.55,Bhai surab ji aaap ko namaskar aap ak baar pushpendra,NAG,NGEN,0
C4.1761,bhai ab coding p bhi video bana do,NAG,NGEN,0
C36.353.3,"@INDIAS TOP 5 bagirath jo ganga ko laye the vo do maa ke union se paida hue
the.",NAG,NGEN,0
C45.773.1,Same vii Two famous kar kya karega YouTube per,NAG,NGEN,0
C7.2380.1,Reflection... Light nahi thi isliye !,NAG,NGEN,0
C19.175,Maine suna ki aap bole mai hu saitan.....,NAG,NGEN,0
C9.306.1,"Rajdeep ke double standards... Arundhati ko criticuse karne se darta h, PM ko
kuch bhi bol dega",NAG,NGEN,0
C4.1701,Bhai mane to Kal hi Dekhi ha ye,NAG,NGEN,0
C4.433,Bhai ekdum sahi review,NAG,NGEN,0
C7.1275,Bhai aap ki daddi right pe jyada left pe kaam he...,NAG,NGEN,0
C7.2570.4,Bhai sari ek no movie hai MASTERPIECE,NAG,NGEN,0
C4.2122,_Kis kis ko JOKER ka movie review chaiye?_,NAG,NGEN,0
C21.163,"Pratik bhai...pink movie v apni jagah sahi hai...aisa to nahi hai na ki jo uss
movie me dikhane ki koshish ki gayi hai...wo puri tarah galt hai...",NAG,NGEN,0
C59.1948,Thik bola hai bhai,NAG,NGEN,0
C7.2181,bhai abtak friendship nhi ki kya kisi stree ne😁,NAG,NGEN,0
C4.2232.1,Right bro mujhe destruct hone se bhai hi bachaya ek fraud ladki se,NAG,NGEN,0
C36.615.2,"Bhai me samaj raha hu kya chahata hai  
Hahahahaha",NAG,NGEN,0
C29.23,Jay siyaram,NAG,NGEN,0
C7.412,"Sex and love are two totally different things.. Sometimes I really feel bad
for the boys and men's.. Hamesha ladka hi galat nei hota..",NAG,NGEN,0
C32.86.1,"@SHAYRI & WHATSAPP STATUS are bhai jo natural gay hota hai na o alag baat hai
par jo achha khasa ladka ho ke v gay ho jate hai ye glt hai",NAG,NGEN,0
C7.43,"jitna maza movie dekh kar aaya , utna hi aap ka reviwe dekh kar",NAG,NGEN,0
C7.1596,Sahi kahaa...,NAG,NGEN,0
C20.70,Hindi me review karo,NAG,NGEN,0
C7.1815,Bhut hard,NAG,NGEN,0
C4.1891,Love you Swetabh 😘... Tere haar baat par reality hoti hai...,NAG,NGEN,0
C4.2135,"aag laga re bhai apne community mein aaj to 3 vids a day aaj ka jumma(FRIDAY)
ka chumma* shwetabh BHAI ki taraf se ....",NAG,NGEN,0
C7.195,Sahi bola,NAG,NGEN,0
C4.2051,Shahid Khan Gangs of Wasseypur wla h 🤣🤣,NAG,NGEN,0
C4.885,"Maine 10 saal se ek bhi bollywood movie nhi dekhi, sirf Hollywood movie dekhta
hu. Mai abhi 20 saal ka hu",NAG,NGEN,0
C36.1117,"Jo army wala/wali married h uski wife/husband ko problem ho gi  
Jo gher pr h  
Bcz army camp me sb kuch mil rha h  
Socho border pr 2 foji ""bunker"" me😂😂😂😂😂😂",NAG,NGEN,0
C4.1705.1,"bhai 2 ads dikh jaye to bhai ko support mil jayega ..isliye ads aye to aage se
dekha kro",NAG,NGEN,0
C4.1725,Yarr main hamesha tumhare ball dekhta reheta hoon mast hai bhai.,NAG,NGEN,0
C38.658,"yar timeliners tm logo ki is video me ek group me lady hulk baithi thi us se
kch puchte zra",NAG,NGEN,0
C26.99,Sahi kare jagir bhai ne,NAG,NGEN,0
C7.2128,Not a movie review ki baat ho rahi hai shayad,NAG,NGEN,0
C19.159.1,ये critics के liy पहले ही दिखा दी जाती hai,NAG,NGEN,0
C26.127,Jo juthe 498a case lagate he un sabhiko ye vedio dekhana chahiye,NAG,NGEN,0
C4.2163.1,"@Shi..! sach main bro .... Swetabh bhai ne ek video main kaha tha na ki duniya
main sab kuch ignor kar sakte ho lekin koi nayi film aaye naye koi celebrity
kids , unke pr team ki wajah se samne aa hi jate hain .. trailer dekhne ke v
jarurat nhi",NAG,NGEN,0
C7.677.2,"Maine toh pura dekha. Tu voh zyada dekhta hoga isliye baaki sab cheez m
interest kam ho gaya",NAG,NGEN,0
C33.13,Ap lok bohat fany ho,NAG,NGEN,0
C4.773,bhai sahi bola ....ye india aur aju baju jaise Bangladesh main v hta hain,NAG,NGEN,0
C4.2106,vocabulary theek hai bhadwe ki,NAG,NGEN,0
C7.301,"भाई आपके फ़िल्म का रिव्यु THEQUINT व्वालो ने भी दिखाया है।  
<https://hindi.thequint.com/voices/opinion/shahid-kapoor-kabir-singh-vijay-
deverakonda-arjun-reddy-promotes-toxic-masculinity>",NAG,NGEN,0
C38.318,Wife laai thi hahahahahaha,NAG,NGEN,0
C4.1711,vai sabbas... 200% truth.,NAG,NGEN,0
C4.1493,bhai m apki video ko kutte ki trah pyar krta hu🤣🤣,NAG,NGEN,0
C57.41.2,😂😂😂😂 hum v wahi soch rahe they,NAG,NGEN,0
C59.845,bahut achchha video💞👌,NAG,NGEN,0
C7.1189,' Bridge to Terabithia ' movie ko dekha hai ? nahi to dekho..,NAG,NGEN,0
C4.2079,"[8:32](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=8m32s) bhai ne lage hath
Tupperware ka bhi promotion kardiya",NAG,NGEN,0
C32.98.1,@Bhavesh Sanadiya top mtlb,NAG,NGEN,0
C32.135,शानदार चन्दू भैया..... शानदार एक्टिंग..../,NAG,NGEN,0
C36.1107.2,"Identify pahli baar me muskil hai ...lakin select hone ka baad bhi nikal sakte
hai",NAG,NGEN,0
C21.173,इसको कानूनकालेज मे केस ्स्टडी बनाया जाये,NAG,NGEN,0
C36.758,"Ye Jo video sahi he par shidhe army me joined nahi karna chahi ye inko thoda
niche levels ke liye joining start karna chahiye jese police ya koi or field
me or unke kam ko dekhne ke bad army me joined karne Ka ya nahi karneka sochna
chahiye q ki article 14 se 32 ke bich unko bhi adhikar hee",NAG,NGEN,0
C4.1280.3,Bhai Itni abhi apni aukaat nahi bani😅😅,NAG,NGEN,0
C7.1732,"Sab thik he sir..but app review se jyada dusre topic k bare me bol rhe
hein...ye app apke dusre channel me v kr sakte hein.....but app film ki har
aspects ki review kijiye....",NAG,NGEN,0
