ID,Text,label,Label
facebook_corpus_msr_1400206,Bhaiya news de diye ho par FIR kiye ki nahin.,NAG,0
facebook_corpus_msr_1400222,"अमेरिका का रक्षा मंत्रालय इराक में आतंकवादी गुट इस्लामिक स्टेट (आईएस) का मुकाबला करने के लिए 2,000 टैंक रोधी हथियार भेजेगा...",NAG,0
facebook_corpus_msr_1400950,गैमलिन नियुक्ति मामले में केजरीवाल को मिला कांग्रेस और सीपीएम का साथ। पढ़ें खबर... http://goo.gl/dD5XSI,NAG,0
facebook_corpus_msr_1401230,आख़िरकार हरियाणा की बीजेपी सरकार ने डीएलएफ और रॉबर्ट वाड्रा के बीच ज़मीन सौदे की जांच के लिए न्यायिक आयोग के गठन को हरी झंडी दे दी। दिल्ली हाईकोर्ट के रिटायर्ड जस्टिस एस.एन. ढींगरा को जांच का ज़िम्मा सौंपा गया है...,NAG,0
facebook_corpus_msr_1401480,"READ : #IndoChina  प्रधानमंत्री के चीन पहुंचने से पहले ही तल्ख़ हुआ चीनी मीडिया का सुर, कहा अरुणाचल न जाएं पीएम मोदी और दलाई लामा का न करें समर्थन। 
पढ़ें पूरी ख़बर- http://goo.gl/aVPDrh",NAG,0
facebook_corpus_msr_1401732,"READ : #JayaAquitted  कर्नाटक हाईकोर्ट ने आय से अधिक संपत्ति मामले में तमिलनाडु की पूर्व मुख्यमंत्री जे जयललिता को बरी कर दिया है।
ख़बरे पढ़े यहां- http://goo.gl/pgXpXU",NAG,0
facebook_corpus_msr_1401733,Ye to hona hi tha,NAG,0
facebook_corpus_msr_1401795,"पाकिस्तानी तालिबान ने हेलीकॉप्टर गिराने का वीडियो जारी किया, साथ ही दी और हमले की धमकी। पढ़ें खबर... http://goo.gl/TvkqBx",NAG,0
facebook_corpus_msr_1402440,"ऑर्बिट बस कंपनी के ड्राइवरों की मनमानी नई नहीं, सालों से जारी है... #Orbit #Moga

लिंक पर जाकर पढ़ें..

http://khabar.ndtv.com/news/india/terror-of-orbit-bus-company-drivers-and-politics-760556",NAG,0
facebook_corpus_msr_1403041,"READ : #TransportStrike  दिल्ली समेत देश के कई राज्यों में आज बस, टैक्सी और ऑटो बंद रहेंगे। ये बंद ऑल इंडिया ट्रांसपोर्ट वर्कर्स यूनियन के बुलाये  बंद के मद्देनज़र बुलाया गया है। ये विरोध-प्रदर्शन नए मोटर बिल के खिलाफ किया जा रहा है।
http://khabar.ndtv.com/news/business/auto-and-taxi-unions-in-delhi-to-go-on-strike-today-759364",NAG,0
