Unnamed: 0,_id,tweet_id,Text,task_1,task_2,Label
2222,60c5d7495659ea5e55df10dc,hi_hasoc_2021_2222,सोशल मीडिया में मची हलचल के बाद बिहार की राजनीति में भी हलचल मचना शुरु हो गई..  RJD से मुस्लिम नेताओं ने इस्तीफा देना  शुरु कर दिया है.. @WasiuddinSiddi1  #JusticeForShahabuddin https://t.co/f74ljZCCi9,NOT,NONE,0
2570,60c5d7495659ea5e55df13b1,hi_hasoc_2021_2570,समझ नहीं आ रहा मजदूर दिवस की बधाई दूं या किसान आंदोलन पर अफसोस जताऊं   #KisanMazdoorEktaZindabaad  #1May  #मजदूर_दिवस  #Resign_PM_Modi  #मजदूर_दिवस,NOT,NONE,0
294,60c5d7495659ea5e55df056d,hi_hasoc_2021_294,वैसे तो लोग ट्वीटर पे आवाज़ बुलंद कर रहे हैं मगर एक शख्स जिसे लोग @ShayarImran कहते हैं वो ज़मीन पर भी ओसामा शहाब के साथ खड़े मिले.  इस नाज़ुक हालात में ओसामा शहाब के कंधे से कंधे मिलाना उनके साथ खड़ा होना बहोत बड़ी बात है। @ShayarImran सलाम है आपकों 🙏🏾 #JusticeForShahabuddin https://t.co/Ca28NUDGvU,NOT,NONE,0
3508,60c5d7495659ea5e55df1d30,hi_hasoc_2021_3508,"#Bahraich- मरीजों से अवैध वसूली का कारोबार जोरों पर,  गर्भवती महिला को सीएचसी से बाहर निकाला, पैसे न देने पर बिना इलाज बाहर निकाला, सीएचसी की महिला स्टाफ ने मांगे थे पैसे, डॉक्टर के नाम पर महिला से मांगे थे पैसे।",NOT,NONE,0
1716,60c5d7495659ea5e55df0d1f,hi_hasoc_2021_1716,ज्यादातर राज्यो के पास45 yrs के लोगो के vaccination के लिए वैक्सीन नही है और बीजेपी govtने 1 मई से 18 से उप्पेर के लिए वैक्सीन शुरू कर दिया #ModiKaVaccineJumla,NOT,NONE,0
2679,60c5d7495659ea5e55df136b,hi_hasoc_2021_2679,"बंगाल में मात्र 6 महीना राष्ट्रपति रूल लगवाइए और मेजर जनरल G D बक्शी जी को बंगाल का गवर्नर बना दीजिए.. TMC के गुंडे, रोहंगिया, बांग्लादेशी अपने जान की भीख मांगते नजर न आएं तो कहना.. #majorbakshi #bakshi पश्चिम बंगाल #BengalBurning #BengalViolence #bengalelectionresult https://t.co/yjnGFg7tMU",NOT,NONE,0
299,60c5d7495659ea5e55df05df,hi_hasoc_2021_299,किस चीज के ठेकेदार था भाई ? अगर सड़क का था तब सहिए किए है पिट कर ! #YESUNG #win #vaccinated #tiktokdown #stayspacex #ResignModi #quackity #PresidentRuleInBengal #HBDThalaAjith #GoodGirls #EfYam #exrosmello #dogecoin #COVID19 #BengalBurning #ARSD https://t.co/320rctPFYt,NOT,NONE,0
2652,60c5d7495659ea5e55df13e3,hi_hasoc_2021_2652,सिसकियों को भला कौन  सुनता यहाँ  माला  फूलों के अब कौन  बुनता यहाँ पाँव  हो  जाए  घायल  ये  सब चाहते राहों  के  काँटे  अब  कौन चुनता यहाँ। #दर्दनाक_भारत #पूछता_है_भारत #ShameonModiGovt #शर्मनाक #ModiKaVaccineJumla #ModiResign #ModiMustResign #25सांसद_लापता_है https://t.co/vM8Kn0W1gG,NOT,NONE,0
1905,60c5d7495659ea5e55df0d71,hi_hasoc_2021_1905,@RakeshRanjan35 @Tiwaribrothersa @irajendrashukla @deep_mani02 @arunbajpairajan @PistolPandey @Sirji7211 आपको कश्मीर में नही मिला तो वो ज्ञान की बात और जिस घोड़े की जगह कोई गधा बैठ गया तो वो कौन सी बात होगी,NOT,NONE,0
3816,60c5d7495659ea5e55df1baa,hi_hasoc_2021_3816,बंगाल में #JaiShreeRam  कहने पे #TMC_के_गुंडे  मारते है मैं सबके सबके सामने बोलती ही जय श्री राम अब देखते है क्या कर पाओगे #ममता_बनर्जी  #बंगाल_हिंसा  #BengalBurning,NOT,NONE,0
914,60c5d7495659ea5e55df0b68,hi_hasoc_2021_914,यूपी के इस जिले में व्यापारियों ने 9 मई तक अपनी मर्जी से लगाया लाॅकडाउन https://t.co/3jn2ZoAjE1 #COVID19 #ModiKaVaccineJumla,NOT,NONE,0
3537,60c5d7495659ea5e55df1a64,hi_hasoc_2021_3537,"दोपहर में सेंटर नही शाम को सब फुल, जब पहले लगाना ही अपने चहेतों ओर सिफ़रिशियों को है तो इतना नाटक क्यों ??  #ModiKaVaccineJumla #ModiHataoDeshBachao https://t.co/RhrQCjugWV",NOT,NONE,0
163,60c5d7495659ea5e55df0509,hi_hasoc_2021_163,@Kisanektamorcha @ShellyChawla13 Humility is Humanity🙏 No matter what our achievements are if you’re not humble it’s all meaningless   #Humility #Humanity #Vaccine_और_MSP_दो #Resign_PM_Modi #KisanMazdoorEktaZindabaad   #FarmLaws_NextPandemic #5MonthsOfFarmersProtest #आज_आक्सीजन_कल_रोटी_जायेगी    #FarmersProtest,NOT,NONE,0
496,60c5d7495659ea5e55df070c,hi_hasoc_2021_496,@RahulGandhi @INCMumbai मुंह मैं दही जम गई हैं  #BengalViolence #BengalBurning #TMCTerror पर क्या ?????? #कांग्रेस #CongressMuktBharat #COVIDSecondWave #thursdaymorning #thursdayvibes https://t.co/4IWkVZjYqm,NOT,NONE,0
671,60c5d7495659ea5e55df08ca,hi_hasoc_2021_671,अगर सरकार  पर मंदिर बनवाने से अधिक हॉस्पिटल बनवाने पर ज्यादा जोर देते तो आज ये दिन नहीं देखना पड़ता |  #ResignPMmodi  #ExitModi,NOT,NONE,0
5152,60c5d7495659ea5e55df0d60,hi_hasoc_2021_5155,चुनाव बाद हिंसा में मारे गए लोगों के परिजनों को दो-दो लाख की आर्थिक मदद देगी ममता सरकार।  @BJP4Bengal #BengalBurning @MamataOfficial https://t.co/RyW7GJPmmm,NOT,NONE,0
858,60c5d7495659ea5e55df0bc8,hi_hasoc_2021_858,"जिन्हें लग रहा हो कि बंगाल में पुलिस नहीं है क्या? उन्हें बता दूं...""है,उनका प्रयोग तब होगा जब हिन्दू पलटवार करेंगे"" #BengalBurning  #Bengalisburning  #bengalvoilence",NOT,NONE,0
2877,60c5d7495659ea5e55df1619,hi_hasoc_2021_2877,"@Alpanah51 बिहार मे यादव से वफ़ादारी की भेंट चढ़े शहाबुद्दीन,  और यूपी मे आज़म ख़ान   #JusticeForShahabuddin https://t.co/a1aRRFwsAy",NOT,NONE,0
1525,60c5d7495659ea5e55df0ef3,hi_hasoc_2021_1525,"@SnskariL0nda1 लड़की : भाड़ में जाओ, लड़का : तभी तो तुम्हारे पास आया 😂😂😂",NOT,NONE,0
2567,60c5d7495659ea5e55df138f,hi_hasoc_2021_2567,@vinodkapri वाह रे दोगला सरदार आयुर्वेद और हिन्दू विरोधी ऐजेंडा ही जीवन का लक्ष्य है तुम्हारे जैसे निकम्मे का।  धिक्कार है ऐसे जीवन पर।  साक्षात जयचन्द हो,NOT,NONE,0
4782,60c5d7495659ea5e55df0a68,hi_hasoc_2021_4783,@Cute_Banda @sarcasticbro89 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE,0
1571,60c5d7495659ea5e55df0f1a,hi_hasoc_2021_1571,"@BJPMahilaMorcha @blsanthosh @VanathiBJP @JPNadda @dushyanttgautam @narendramodi @AmitShah पश्चिम बंगाल में टीएमसी के गुंडों द्वारा हो रही हिंसा को रोकने के लिए राष्ट्रीय अध्यक्ष माननीय श्री @JPNadda जी के दिशा निर्देश प्राप्त हुआ।  बंगाल के प्रत्येक कार्यकर्ताओं की शहादत जाया नहीं जाएगा, हम इस लड़ाई निर्णायक मोड़ तक पहुंचाएंगे।  #BengalBurning #BengalViolenceWarrantsS https://t.co/TJVTxagCv7",NOT,NONE,0
2007,60c5d7495659ea5e55df0dcb,hi_hasoc_2021_2007,@anil_baluni @MOS_MEA @BJP4India @VMBJP #ममता_खूनी_है   #BengalViolance  #BengalBurning  #ममता_की_निर्ममता  #ममता_बनर्जी_हत्याएं_बंद_करो  #CruelMamata,NOT,NONE,0
4141,60c5d7495659ea5e55df1ae0,hi_hasoc_2021_4141,@Kisanektamorcha 🙏 #KisanMazdoorEktaZindabaad #Resign_PM_Modi  #FarmLaws_NextPandemic #KisanBole_NoVoteToModi #5MonthsOfFarmersProtest #आज_आक्सीजन_कल_रोटी_जायेगी #NoVoteTo_EvilModi   #ਕਿਸਾਨਮਜ਼ਦੂਰਏਕਤਾਜਿੰਦਾਬਾਦ  #FarmersProtest,NOT,NONE,0
3368,60c5d7495659ea5e55df17b7,hi_hasoc_2021_3368,दीदी वाह दीदी मौज कर दी  तुम बड़े हैवी ड्राइवर निकले  😂😜😂 #BengalBurning #PresidentRuleInBengal #BengalViolence #MamataBanarjee #didi_o_didi #Election2021,NOT,NONE,0
3101,60c5d7495659ea5e55df1560,hi_hasoc_2021_3101,#OPS #BanEVM #पुरानी_पेंशन_बहाल_करो #FarmersProtest #SpeakUpForFarmers #StopPrivatization #ModiMadeDisaster #NPS_भारत_छोड़ो #NPS_QUIT_INDIA #OPS_कर्मचारी_का_अधिकार #NPSनिजीकरणकेख़िलाफ़_इंक़लाब #Vaccine_और_MSP_दो #KisanMazdoorEktaJindabaad #Resign_PM_Modi #COVID19India https://t.co/ez8dik4a5e,NOT,NONE,0
2499,60c5d7495659ea5e55df12c5,hi_hasoc_2021_2499,धर्म आपके कथनो से नही अपितु आपके आचरण से सार्थकता प्राप्त करता हैं । विश्व का सबसे क़द्दावर राजकीय पक्ष आज एक #राज्य सरकार विरुद्ध विवश प्रतीत हो रहा हैं । #bengalbjp #गृह मंत्री #बंगाल_हिंसा #Modi #BengalBurning #भारतीय जनता पार्टी #sarkar #राजधर्म https://t.co/GfDcQgqzb4,NOT,NONE,0
3040,60c5d7495659ea5e55df1680,hi_hasoc_2021_3040,"दोस्तों, आओ हम सब सर्वसम्मति से महान अर्थशास्त्री, धुरंधर वैज्ञानिक, अंतर्राष्ट्रीय किसान, भयंकर सवर्ण-दलित मसीहा #चुदित राज जी को खांग्रेस #अध्यक्ष एवं #पलधानमंतली बनाएं !!🙏 ""सभी #समस्याएं समाप्त"" #उदित_राज_को_अध्यक्ष_बनाओ_बे @Dr_Uditraj  #CovidVaccine https://t.co/HrWBrorcLe https://t.co/ycTG72isue",NOT,NONE,0
3067,60c5d7495659ea5e55df14d3,hi_hasoc_2021_3067,"शहाबुद्दीन साहब को कोरोना नहीं था,तो अचानक मौत कैसे हुई ? उन्हें AIIMS की जगह DDU में क्यों एडमिट किया गया? जब कोरोना रिपोर्ट नेगेटिव है तो शरीर सीवान क्यों नही ले जाने दे रहे? हम तदफीन के साथ न्यायिक जांच की मांग करते हैं,  आखिर क्या छुपा रहें है? #JusticeForShahabuddin",NOT,NONE,0
1063,60c5d7495659ea5e55df0a19,hi_hasoc_2021_1063,@suryapsingh_IAS सर जी मैं गांव का लड़का हूं और बहुत मैं गंदा गंदा गाली देता हूं तो मुझे ज्यादा पैसा मिलेगा कि मुझे भी सिर्फ दो ही रुपया मिलेगा एकदम सर जी एकदम गांव वाला गाली जो दम मां बहन कि नहीं वह सब देते हैं एकदम गंदा गंदा फूहड़ एकदम वह वाला गाली जानता हूं तुम मुझे कुछ ज्यादा पैसा दिलवा देते,NOT,NONE,0
215,60c5d7495659ea5e55df0684,hi_hasoc_2021_215,सरकार की कटपुतली बने फिरते जितने भी लोग   आज देखे वो बेबसी शाहबुद्दीन के बेटे ओसामा की.....  #JusticeForShahabuddin,NOT,NONE,0
758,60c5d7495659ea5e55df0a88,hi_hasoc_2021_758,@WasiuddinSiddi1 #JusticeForShahabuddin परवरदिगार शाहबुद्दीन साहब को जन्नत में आला मकाम अता फरमाए। आमीन 🌹,NOT,NONE,0
3030,60c5d7495659ea5e55df15d8,hi_hasoc_2021_3030,@runcaralisarun मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,NONE,0
1369,60c5d7495659ea5e55df0d53,hi_hasoc_2021_1369,#BengalBurning मोदीजी न्याय करें 🙏 https://t.co/66DzjKMQI3,NOT,NONE,0
