ID,Text,label,Label
facebook_corpus_msr_430448,"""win your self "" -real freedom -unleash the d.n.a 

...do not use----> unused old palmolive shaving cream of abraham lincoln",NAG,0
facebook_corpus_msr_495463,Sindhu should b appreciated but there are more good sportsman who r not seen by India.(marathon) rich r getting more richer Sindhu she got already everything 😬,NAG,0
facebook_corpus_msr_468225,Every problem create new opportunity just U have to grab it. GD initiative by big bazar,NAG,0
facebook_corpus_msr_463129,There is pain but no gain.  The exercise is not thought through fully.  It is creating havoc for the economy and hardship for common man.,NAG,0
facebook_corpus_msr_2041541,"Happy that there are people who think positively, logically. A nice explanation indeed.",NAG,0
facebook_corpus_msr_469040,"Bank nifty cracked today,  where is it going now?",NAG,0
facebook_corpus_msr_2041642,What a wuss,NAG,0
facebook_corpus_msr_2111276,"RSS is the best thing that ever happened to INDIA, think about that. JAI HIND.",NAG,0
facebook_corpus_msr_464506,"Why worker of tea garden, NREGS worker are not paid their wages? Why students are asked bribe of 15 lac for teacher job.",NAG,0
facebook_corpus_msr_1833407,What ever they say is now correct,NAG,0
facebook_corpus_msr_412313,No bosses over there take fare actions . Employee who are onroles they treat the person working on 3rd party payrole as their servant,NAG,0
facebook_corpus_msr_410045,"Everybody knows Sachin , Raina , Dhoni are getting more money than 6 Cr. under the table ( for which they are officially retained ) ,when Gambhir , Yusuf pathan getting 11 Cr. officially ,how can they play on low amount ? shalab Srivastav said nothing wrong , poor fellow got banned",NAG,0
facebook_corpus_msr_1917082,Powered by Hamza Khan 💞💞,NAG,0
facebook_corpus_msr_455968,Hmmmm.. just bringing to your notice on the piled up and back to back news,NAG,0
facebook_corpus_msr_1521964,Communist got beaten by gangsters in Indonesia https://www.youtube.com/watch?v=Ky7Z4-UjaJI,NAG,0
facebook_corpus_msr_442964,"EVERYBODY IS TIRED OF DOING WORK PEOPLE SHOULD STOP ELECTRONICAL DEVELOPMENT AND START REGROWING EARTH , POPULATION CONTROL , AND LIVE A PEACEFUL LIFE WHAT WILL YOU GET HAVING A BIG HOUSE AND BIG CARS WHEN THERES NO SPACE TO DRIVE .",NAG,0
facebook_corpus_msr_439177,Its so much important for parents know how bad it is to pressurize children at such an early age. Straight from the legends like Sundar make a huge difference. Thanks a lot! #BackOnCampus,NAG,0
facebook_corpus_msr_420479,Hi anuj why OBC is trading at 0.3x of it's book value while some of banks trading 10x of book value?,NAG,0
facebook_corpus_msr_417576,Jio prime deadline is extended...So plz extend Happy New year offer for 15 days also😂😂😂,NAG,0
facebook_corpus_msr_480835,Nifty below 8550 ?  Indicates a down move maybe coming,NAG,0
facebook_corpus_msr_491605,"Many many THANKS , on behalf of Priyesha Deshmukh .",NAG,0
facebook_corpus_msr_335317,yes a lot of difficulities BJP face in rigging EVMs and communally divide the people again and again to get votes...,NAG,0
facebook_corpus_msr_414386,Extradition proceedings can be time consuming. It is the first step.,NAG,0
facebook_corpus_msr_454017,RE is the best it is giving fighting to HD and u think of,NAG,0
