Unnamed: 0,_id,tweet_id,Text,task_1,task_2,Label
826,60c5d7495659ea5e55df0953,hi_hasoc_2021_826,"@ImAnkur_tyagi @myogioffice @narendramodi @myogiadityanath Modi key kutsit irradey key aagey yogiji pust hain  “हीरे को परखना है तो अंधेरे का इंतज़ार करो, धूप में तो काँच के टुकड़े भी चमकने लगते हैं” Heera hain yogiji or kaanch ka tukda hai modiji #Resign_PM_Modi",NOT,NONE,0
5144,60c5d7495659ea5e55df0fd2,hi_hasoc_2021_5147,"@LateharDistrict @JharkhandCMO @HemantSorenJMM @BannaGupta76 @MithileshJMM @ChampaiSoren @DrRameshwarOra1 बालूमाथ बीपीओ श्री केतन गुप्ता के द्वारा गाय शेड , सिंचाई कूप ,में अवैध वसूली करने के सम्बंध में हम सब भगेया तथा मुरपा के समस्त ग्रामीण लाभुक उपायुक्त महोदय से आशा करते हैं कि बालूमाथ बीपीओ श्री केतन गुप्ता के द्वारा किया गया धांधली को जांच कर त्वरित कार्रवाई करने की कृपा करें https://t.co/8M30PfuSFg",NOT,NONE,0
3511,60c5d7495659ea5e55df1d8a,hi_hasoc_2021_3511,"@zlj517 @China_Amb_India I am shocked they didn't mention a line (Karam, you have been our worst sufferer) (करम हमारे ख़राब ह भुगत आप रहे ह) #wohanvirus  #chinesevirus",NOT,NONE,0
3549,60c5d7495659ea5e55df1b18,hi_hasoc_2021_3549,"पूछना था राहत इंदौरी, राजीव त्यागी के मौत पर जश्न मनाने वाले कौन थे, कौन से समुदाय?? कौन से वर्ग के थे तब कहाँ थे #ModiKaVaccineJumla #YogiJhootaHai #AndhBhakt #ModiSarkarHiSystemHai",NOT,NONE,0
3212,60c5d7495659ea5e55df179a,hi_hasoc_2021_3212,"@MimrotReena देश बचेगा तब ना, पूरी नर सहार कर रखा है ll  #COVID19  #ModiKaVaccineJumla",NOT,NONE,0
1799,60c5d7495659ea5e55df10a7,hi_hasoc_2021_1799,#JusticeForShahabuddin @yadavtejashwi @RJDforIndia  @MQN  75 सीट से कहां जाओगे पता लगेगा अगले चुनाव में । अपने बाप को रिहा करवा साहेब के मौत पे । सब याद रखा जाएगा। मुस्लिमानो का वोट ले कर दिखा लो अब ।,NOT,NONE,0
3611,60c5d7495659ea5e55df1ca0,hi_hasoc_2021_3611,जे पी नड्डा जी आपने जिस तरह से बंगाल हिंसा पर धरना दिया उससे बिलकुल गांधी जी की याद आ गयी है . 1947 में जब देश का विभाजन हुआ था और हिंदुओं का नरसंहार हुआ तब वो भी धरना दे रहे थे .  #SpinelessBJP #JPNadda #BengalBurning #Modiji #AntiHinduMamata #ममता_खूनी_है,NOT,NONE,0
4145,60c5d7495659ea5e55df1b6d,hi_hasoc_2021_4145,पहले लगता था @BJP4UK ही #SpinelessBJP है।  अब पता लगा ये तो सारे के सारे BJP वाले #SpinlessBJP हैं।  #BengalElection2021 #BengalViolence #BengalBurning #tejasvisurya #SpinlessBJP,NOT,NONE,0
884,60c5d7495659ea5e55df0a8a,hi_hasoc_2021_884,नायक फ़िल्म मे जब अमरीश पुरी चुनाव-हार जाता है तो दंगे करवाना शुरू कर देता है ! #पश्चिम_बंगाल #BengalBurning #BengalElection2021 #BengalViolence #bengalelectionresult #बंगाल_हिंसा #MamataBanarjee @MamataOfficial @PrashantKishor @PJkanojia @Anjali5151,NOT,NONE,0
676,60c5d7495659ea5e55df0752,hi_hasoc_2021_676,@RakeshTikaitBKU @Kisanektamorcha @OfficialBKU @DigamberBku @PTI_News @meelrajaram @NareshTikait @FarmersMovement जानवर जानवर का शिकार करता है! इंसान जानवर का शिकार करता है! राजनीति का नशा इंसान का शिकार करता है!,NOT,NONE,0
