Unnamed: 0,_id,tweet_id,Text,task_1,task_2,Label
998,60c5d7495659ea5e55df0b7b,hi_hasoc_2021_998,@rssurjewala #Hindus DYING #HindusLivesMatter   #KindAttnPMNarendraModi  #coronasecondwaveinindia #ModiMadeDisaster #ResignModi    #BJP #RSS LIARS   I WARNED 2 YRS BACK #RSSTerrorists BANNED BY SARDAR PATEL IGNORED  #शेर_नहीं_भेड़िया_पाल_लिया_भक्तो  #MautKaSaudagar,NOT,NONE,0
4049,60c5d7495659ea5e55df1b73,hi_hasoc_2021_4049,"सब लोग इतने पैसे डोनेट ही कर रहे हैं फिर भी आम आदमी को सिलेंडर और कन्सेंट्रेटर ख़ुद से ही ख़रीदना पड़ रहा है , तो पैसे कहाँ जा रहे हैं?   बीयर्ड ऑयल में ?   #IndiaFightsCorona  #indianeedoxygen  #IndiaCovidCrisis",NOT,NONE,0
1757,60c5d7495659ea5e55df0d1b,hi_hasoc_2021_1757,शेर-ए- सिवान शहाबुद्दीन साहब से रिश्ता क्या  لا إله إلا الله محمد رسول الله  #JusticeForShahabuddin,NOT,NONE,0
1825,60c5d7495659ea5e55df0ee1,hi_hasoc_2021_1825,"@Shikha0222 इसे कहते हैं दोगला पंती जिस सपा की दम पर 0 से 10 का सफर किया और माया अपनी इज्ज़त बचा पाई,, आज उसी सपा को मिटाने की बात कर रही हैं,,,",NOT,NONE,0
3664,60c5d7495659ea5e55df1ad1,hi_hasoc_2021_3664,"#MuddaGaramHai चुनाव नतीजों के बाद बंगाल में जारी हिंसा अप्रत्याशित, बीजेपी कार्यकर्ताओं के ख़िलाफ़ जारी हिंसा राज्य प्रायोजित, दोषियों के ख़िलाफ़ कड़ी कार्रवाई की जाए: प्रकाश जावडेकर    #BJP  #TMC #WestBengalViolence #BengalBurning @ARPITAARYA https://t.co/tHJh1WCHs2",NOT,NONE,0
4023,60c5d7495659ea5e55df18f6,hi_hasoc_2021_4023,जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें #JusticeForShahabuddin,NOT,NONE,0
1212,60c5d7495659ea5e55df0bf0,hi_hasoc_2021_1212,"यदि बाबरी ढ़ांचा गिरने पर तत्कालीन भाजपा द्वासित 4 राज्य सरकारों को बर्खास्त कर उन राज्यों में राष्ट्रपति शासन लगाया जा सकता है तो आज बिहार में लोकतंत्र के ढ़ांचे को तहस-नहस कर के जिस प्रकार से नरसंहार चल रहा है, वहां की राज्य सरकार को तुरंत बर्खास्त करना चाहिए। #BengalBurning",NOT,NONE,0
1857,60c5d7495659ea5e55df0e3f,hi_hasoc_2021_1857,#कृषि_कानून_रद्द_करने_पड़ेंगे #GodiMedia #Ban_Evm #25सांसद_लापता_है #ResignModi #zeenews #AajTak,NOT,NONE,0
1794,60c5d7495659ea5e55df1058,hi_hasoc_2021_1794,कोई यहाँ भी नज़र डाले 😢 #ModiKaVaccineJumla https://t.co/HzX0PvohPQ,NOT,NONE,0
62,60c5d7495659ea5e55df0526,hi_hasoc_2021_62,#AajTak_दलाल_मोदी_का https://t.co/ZKKV8pvIu9,NOT,NONE,0
