ID,Text,label,Label
facebook_corpus_msr_1736960,Prashant Singh is joining Republicans in USA,NAG,0
facebook_corpus_msr_328850,"Baahubali=a product of the far more developed and advanced south Indian psyche, a psyche that unlike the north mastered quality instead of suicidal quantity: it's stars and actors will have the upper hand in the world of developed India, a world underdeveloped bollytrashwood does not have the ability to cater or produce for.",NAG,0
facebook_corpus_msr_413299,"Dear China ,
Pls focus on making quality product rather then infiltrating into Arunachal Pradesh.",NAG,0
facebook_corpus_msr_1775241,Why you don't want Modi to cross Vindhyas.?,NAG,0
facebook_corpus_msr_399498,"""Surgical Strike"" by Pakistan Army 2 indian soldier killed.

SnakeEagle Pakistan Defence Command",NAG,0
facebook_corpus_msr_1956908,"Wasim Hassan , I am not pro Yogi or Bhakt if you are getting that idea. I absolutely don't need to defend BJP or Yogi as they are way beyond capable of doing that by themselves. If you will read my comment, you will see that I am against paid media that will print the speculation instead of solid well researched based on facts news.",NAG,0
facebook_corpus_msr_468986,"Fii will sell if there are uncertainty, selling pressure will continue I think. Nobody knows whats going to happen since this demonetisation. Nobody is going to buy now, not dii and certainly not fii.",NAG,0
facebook_corpus_msr_493165,Lets hope laggards like Metals and Real estate catch up too,NAG,0
facebook_corpus_msr_435330,"If the banking sector as a whole does not embrace technology and invest significant amount of capital in their Operations, it will be taken over by other tech driven companies and consumers shifting their trust to others who offer them more value",NAG,0
facebook_corpus_msr_437721,Sonia...How about financials like federal bank and housing finance such as dhfl,NAG,0
facebook_corpus_msr_2041609,Johar ! Come on accept it ! 🤘🏻😏,NAG,0
facebook_corpus_msr_483666,Is Siemens still a good buy in the large cap space?,NAG,0
facebook_corpus_msr_470757,Isn't it hypocrisy bro . Ppl are dying . Standing in the queue.  N u are telling me the prime ministers mother doesn't have money or ppl to exchange notes for her .?? Its a publicity gimmick.,NAG,0
facebook_corpus_msr_430536,Congratulations Anuj and team ! Great work ! I am  holding TV18 in my portfolio so fingers crossed :),NAG,0
facebook_corpus_msr_466081,"Sir. Private bank atm only use withdraw  2000rs.but. No change 100,50 bus travel 5rs to10rs 50,100ticket price",NAG,0
facebook_corpus_msr_435550,apples nearest vendor india for asian market  ...china unsold pieces can also be shifted instantly to india.,NAG,0
facebook_corpus_msr_430251,I have one lack wich sector is good for invest,NAG,0
facebook_corpus_msr_2241664,Where is the proof sir!!,NAG,0
facebook_corpus_msr_423875,share market tp tirupathi hundi .....that is cnbc tv 18...govinda govinda,NAG,0
facebook_corpus_msr_485116,cnbc tv 18 do you know how the defective goods are returned .....now reverse the entire flow chart from Z to A...from A goes to the service center or manufacturer for replacement,NAG,0
facebook_corpus_msr_430521,Why tv18 number one not showing in its result and mkt price????,NAG,0
facebook_corpus_msr_438131,Hi what is 6 moth down the line we can see nifty will reach,NAG,0
facebook_corpus_msr_427868,RBL & Equitas for long term...I want to buy more,NAG,0
facebook_corpus_msr_1775209,We congratulate our cm and all the people of two region where by poll conducted on victory wish you all the best guys truly a good decision your region development starts now.,NAG,0
