,Text,Abuse,Label
0,मुकेश अंबानी के किसी घोटाले पर कांग्रेस और बीजेपी दोनों को कभी बोलते नहीं पाओगे। अडानी का नाम एकाध बार राहुल ने जरूर लिया है।,benign,0
1,तुम्हारे लाल टोपी वाले नेताजी बीजेपी के खिलाफ दुष्प्रचार कर के भी कुछ नहीं उखाड़ पाये उलटे उनकी सरकार बुरी तरह हार गई।अब तुम दुष्प्रचार करने चले हो।,benign,0
2,"जुझाड़ू पत्रकार हो, ई वर्डिक्ट अब पुराना हो गया। राजा और कलमुँही बीजेपी कब जॉइन कर रहे है।  सब से पहले, सबसे तेज",benign,0
3,शिक्षामित्र योजना बीजेपी लायी थी  वर्षों बाद जबवे टीचर बनेतो पूरी कायनात  दुश्मन होगयी सरकार शिक्षामित्रोंकी नौकरी नहीं बचापाई,benign,0
4,भाई दूसरों को कोसने से कुछ नहीं होता केंद्र राज्य में बीजेपी सरकार हर सब सवालों का जबाब से मांगा जाएगा ठोस कार्यवाही करें कठिन होगा,benign,0
5,"दिबांग जी कल  का निर्णय आने के बाद देश का और मेरा मूड  , और चोर नेताओं के ऊपर खराब है इसमे बीजेपी वाले भी शामिल है।",benign,0
6,"घोटालों के सभी आरोपी बरी हो गए, झारखंड मे मधु कोड़ा को बड़ा घोटाले के जुर्म में सिर्फ तीन साल की सजा मिली । ये बीजेपी सरकार में आखिर चल क्या रहा है",benign,0
7,"अब बीजेपी शक्ति में है, और कांग्रेस की तरह प्रतिक्रिया करने की शुरुआत",benign,0
8,"झूठ बोलकर हासिल की गई सत्ता का सच  भारतीय जनता के सामने आने लगा ,कांग्रेस पर झूठे आरोप लगाकर सत्ता प्राप्त करने वाली बीजेपी का सच सामने",benign,0
9,कांग्रेस के नेता और बीजेपी के नेता सब मिलकर देश को लूट रहे है देश भक्त होने का ढोंग करते है  जी  के  रकम कहाँ है  देश को बताए  नहीं तो देश की जनता  मे दोनों पार्टियो को धक्का मार कर दरवाजे से नेताओ को भगाना है वोट नोटा मे देंगे ।,benign,0
10,सरकार बनने तक एक और निर्दलीय का समर्थन भी बीजेपी को मिल सकता है।ऐसे में आंकड़ा शतक को पार करते  पहुंचेगा।,benign,0
11,रविशजी बीजेपी विधायक ने अनुष्का वीराट को देश द्रोही बताया था फिर इनका सरगना फेकू उनके रिशेप्शन मे क्या प्लेट धोने गया था,benign,0
12,बीजेपी कांग्रेस मुक्त विपक्ष चाहिए संसद को,benign,0
13,अगली बार तमिलनाडु में बीजेपी द्रमुक गठबंधन सरकार,benign,0
14,देश को पाकिस्तान से नहीं बीजेपी से खतरा है ।आज हिन्दू संतो का भी मानना है।,benign,0
