text_id,Text,task_1,task_2,task_3,Label
hasoc_hi_3270,दिल्ली में धार्मिक स्थल पर हमले होते रहे कहां थी पुलिस?  #Krantikari पूरा कार्यक्रम https://bit.ly/2KSx0Kw   (@MinakshiKandwal),NOT,NONE,NONE,0
hasoc_hi_7709,"Mirzapur,  Dara hua Musalman Mob Lynched a Hindu Man who was on his way to the Bhandari Temple for Devi Dharshan  The hate crimes against Majority Hindus NVR get highlighted!  They are facing discrimination from govts, media, judiciary..  @PMOIndia @HMOIndia",NOT,NONE,NONE,0
hasoc_hi_6774,"आकाश विजयवर्गीय 'बैटकांड': पीएम मोदी सख्त, कहा- घमंड स्वीकार नहीं, एक MLA कम होगा तो क्या हो जाएगा?  #AkashVijayvargiya   https://abpnews.abplive.in/india-news/arrogance-misbehaviour-cant-be-tolerated-says-pm-narendra-modi-on-bjp-mla-akash-vijayvargiya-1158847 …",NOT,NONE,NONE,0
hasoc_hi_694,एक छोटी सी बच्ची गली में 4-5 कुत्तों को देखकर डर गई   कुत्ते बोले निकल जाओ बेटी हम कुत्ते हैं   #नीच धर्म के नही  #Justicefor twinkle,NOT,NONE,NONE,0
hasoc_hi_1166,"मुगलो को गाली देते हो गौडसे की पूजा करते हो अंबेडकर की मूर्ती तोड़ते हो   जबकि देश के लिये तुम्हारा योगदान कुछ नही है,,,",NOT,NONE,NONE,0
hasoc_hi_3830,"राममंदिर और गौरक्षा के नाम वसूले चंदे का पाई पाई हिसाब दो पहले फिर मै मान लूंगा तबरेज चोर था,,,  @ziddy_zoya",NOT,NONE,NONE,0
hasoc_hi_7100,सोनिया गांधी ने मोदी सरकार पर किया हमला,NOT,NONE,NONE,0
hasoc_hi_21,"What does it mean, when in India,  hindu community is having this kind of treatment. You can easily target hindu. You can beat them. No perticular media will raise a single question over it. और मुसलमान बोलते हैं कि भारत में इन्हे डर लगता है। #NoOneForHindu",NOT,NONE,NONE,0
hasoc_hi_85,चंद्रशेखर आज़ाद आनंद भवन से नेहरू से मिलके निकले।  कुछ ही देर मैं अल्फ्रेड पार्क मैं पुलिस उनके ऊपर हमला कर देती है।    वो वीरगति प्राप्त कर लेते है।    क्या यह बहुत बड़ी साजिश नही थी ठरकी की।    फॉलो करे @Nationfirst0012,NOT,NONE,NONE,0
hasoc_hi_1902,"अखिलेश यादव को अपने सोशल मीडिया को मज़बूत करना चाहिए, अब लोग सोशल मीडिया से ज्यादा जुड़े है।    पार्टी के नेतृत्व बहुत ही अच्छे हाथ मे है लेक़िन कार्यकर्ता और सोशल मीडिया काफ़ी कमजोर है समजवादी पार्टी का।    आज अखिलेश यादव के जन्मदिन पे एक ट्रेंड नही चला सके सपाई।    निंदनीय!",NOT,NONE,NONE,0
hasoc_hi_805,"चुनाव नतीजों के बाद से ‘गायब’ #RJD नेता #TejashwiYadav भले पटना वापस लौट आए हैं, लेकिन अब भी वह #Bihar विधानसभा के सत्र में हिस्सा लेने नहीं पहुंचे हैं। तेजस्वी के अज्ञातवास के जो कारण बताए जा रहे हैं, उसमें दल के साथ परिवार में सत्ता संघर्ष सबसे प्रमुख है",NOT,NONE,NONE,0
