text_id,Text,task_1,task_2,task_3,Label
hasoc_hi_5556,"बांग्लादेश की शानदार वापसी, भारत को 314 रन पर रोका #INDvBAN #CWC19",NOT,NONE,NONE,0
hasoc_hi_3530,"बीजेपी MLA आकाश विजयवर्गीय जेल से रिहा, जमानत मिलने की खुशी में एक समर्थक ने इंदौर में हर्ष फायरिंग की  #AkashVijayvargiya   https://abpnews.abplive.in/india-news/celebratory-firing-outside-bjp-mla-akash-vijayvargiya-office-in-indore-1157241 …",NOT,NONE,NONE,0
hasoc_hi_5206,"चमकी बुखार: विधानसभा परिसर में आरजेडी का प्रदर्शन, तेजस्वी यादव नदारद     #biharencephalitisdeaths   https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-protest-in-vidhan-sabha-campus-but-tejashwi-yadav-was-not-present-1158748 … (रिपोर्ट- @kumarprakash4u )",NOT,NONE,NONE,0
hasoc_hi_5121,मुंबई में बारिश से लोगों को काफी समस्या हो रही है,NOT,NONE,NONE,0
hasoc_hi_7142,Ahmed's dad:-- beta aaj teri mammy kyu nahi baat kr rhi h.   Ahmed....,NOT,NONE,NONE,0
hasoc_hi_4321,"5 लाख मुसलमान उर्स में, अजमेर की दरगाह पर आते हैं, सिर्फ 300 पुलिस वालों के भरोसे,    2 लाख हिंदुओं की अमरनाथ यात्रा के लिए, 80 हजार कमांडो, पैरामिलिट्री फोर्स, तथा करोड़ों के उपकरण लगाए जा रहे हैं    #खतरे में #कौन है ?",NOT,NONE,NONE,0
hasoc_hi_4674,"Do mahashaktiyan mili hain, charo taraf khusi ki leher hai, khus hone wale khus hi rhe hain aur bhakton ko taklif ho rhi hai, khair honi bhi chahiye.",NOT,NONE,NONE,0
hasoc_hi_1637,Chants of 'Jai Sri Ram' as Owaisi takes oath: AIMIM chief responds with 'Jai Bhim' @thenewsminute  @asadowaisi,NOT,NONE,NONE,0
hasoc_hi_5771,नृत्य होगा..!  संगीत होगा..!  जीवन मे उत्सव होगा..!  'वह'आतुर है प्राणों में उतरने को..  'तुम'हृदय दुवार तो खोलो..!  जगह तो खाली करो..!  #हिंदी_शब्द,NOT,NONE,NONE,0
hasoc_hi_288,"गाये के नाम पर जुल्म करने वालों तुम्हारी औकात है उन देश के दस बड़े गाये का मांस निर्यात करने वाले हिंदुओं से हिसाब लेने की,,,",NOT,NONE,NONE,0
hasoc_hi_1803,"डॉ. मुखर्जी ने एक देश में दो विधान दो प्रधान और दो निशान का विरोध करते हुए कश्मीर को भारत का अभिन्न अंग मानकर परमिट राज को खत्म करने की लड़ाई लड़ी, उनके बलिदान से ही परमिट राज खत्म हुआ- श्री @ManojTiwariMP",NOT,NONE,NONE,0
hasoc_hi_5900,"धार्मिक पदों पर बैठे कुछ लोग अपने को भगवान समझ लेते हैं,कुछ लोग नत मस्तक हो उन्हें भगवान का दर्जा दिलाने के लिए अपना समय बर्बाद करते हैं,,,",NOT,NONE,NONE,0
hasoc_hi_5951,सिक्का मोहब्बत का उछाल रक्खा है ~  हाँ मगर खुद को सम्भाल रक्खा है ||  अकेले तुम ही नही जो परेशान हो ~  उसने बहुतों को उलझन में डाल रक्खा है ||    ~ शाहरुख सिद्दीकी @Rekhta  #shahrukhsiddiqui @srspoet,NOT,NONE,NONE,0
hasoc_hi_1723,कोन कहता है  आँखो में  प्यार नही होता।  जो डूब गया फिर उसमे से पार नही होता।    ये इश्क़ के  बाज़ार का दस्तूर है ज़माने में।  जो लूट गया वह कभी खरीदार नही होता।    नईम  #बज़्म #हिंदी_शब्द   @Aayatkhan_ @10398108Ritesh   @Shaheen31304594 @queen_hoon11   @mahir_nagpuri @Khushi_eik_Pal,NOT,NONE,NONE,0
hasoc_hi_1691,"वैसे शपथ के अंत में ' जय भारत,जय संविधान' बोलना भी सभी के लिए अनिवार्य किया जा सकता हैं।",NOT,NONE,NONE,0
hasoc_hi_2070,"एक लंबे अंतराल के बाद आपके बीच #MannKiBaat, जन-जन की बात, जन-मन की बात इसका हम सिलसिला जारी कर रहे हैं। चुनाव की आपाधापी में व्यस्तता तो ज्यादा थी लेकिन मन की बात का मजा ही गायब था, एक कमी महसूस कर रहा था। हम 130 करोड़ देशवासियों के स्वजन के रूप में बातें करते थे: पीएम जी ।",NOT,NONE,NONE,0
hasoc_hi_918,डॉक्टर की लिखी   7 दिन की दवा के बजाय 3 दिन की दवा ही लेना..   एक आम भारतीय गुण है..,NOT,NONE,NONE,0
hasoc_hi_3228,"भारतीय रेल का सोमवार से बदल जाएगा टाइम-टेबल, ईस्टर्न सेंट्रल रेलवे ने इन ट्रेनों के समय में किया बदलाव",NOT,NONE,NONE,0
hasoc_hi_3192,बस एक सवाल का जवाब चाहिए कि जिस चिटफंड घोटाले में जांच के आदेश 2014 में आए उसमें पूछताछ/कार्रवाई 2019 में क्यों शुरू हो रही है? इसी सवाल में सब छुपा है। कौन सही कौन गलत पहचान लीजिए।  @LambaAlka @AbbasAliRushdi @SanjayAzadSln    Follow करो  @mirza__786,NOT,NONE,NONE,0
hasoc_hi_4057,नतीजे आने से पहले ज़िम्मेदारी मिलनी शुरू हो गयी है  केजरीवाल ने अपनी हार की ज़िम्मेदारी मुसलमानो को दे दिया  @ArvindKejriwal @roflfact @ZakirAliTyagi @asadowaisi,NOT,NONE,NONE,0
hasoc_hi_6455,क्लिक करें और पढ़ें इस स्मार्टफोन के बारे में..,NOT,NONE,NONE,0
hasoc_hi_1796,#AIMIM National Spokesperson @syedasimwaqar live on @News18India  #AarPaar  @AMISHDEVGAN  @asadowaisi,NOT,NONE,NONE,0
hasoc_hi_308,हरि ॐ नमो नारायणा भजन सुनकर झूम उठा भक्तों का सैलाब.    #hariom #narayana #radheradhe #jaishrikrishna #JaiShriRam #kalyug #ghanshyam #kanhaiya #acharyapramodkrishnam   @AcharyaPramodk,NOT,NONE,NONE,0
hasoc_hi_1280,"ठोकरें खाता हूँ पर ‘शान’ से चलता हूँ, मैं खुले आसमान के नीचे सीना तान के चलता हूँ! मुश्किलें तो ‘साज़’ हैं जिंदगी का उठूंगा गिरूंगा फिर उठूंगा और आखिर में… जीतूंगा मैं ही ये ठान के चलता हूँ!!.आदरणीय अखिलेश यादव जिंदाबाद",NOT,NONE,NONE,0
hasoc_hi_4323,#CWC2019 में भारत को पहली हार का सामना करना पड़ा। रोहित शर्मा का शतक और मोहम्मद शमी के 5 विकेट भी काम न आए और इंग्लैंड 31 रन से जीत गया,NOT,NONE,NONE,0
hasoc_hi_141,"चाहे दिल्ली हो, उत्तर प्रदेश, मध्य प्रदेश या फिर राजस्थान। देश के हर कोने से नन्हें मासूमों के साथ हर रोज रेप हैवानियत की ख़बरें आ रही है लेकिन हमारे देश का कानून इतना नाकारा हैं कि अपराधियों के हौसले बुलंद हैं। सरकारें भी अपनी राजनीति के चक्कर में कोई कड़े फैसले नहीं ले रही हैं",NOT,NONE,NONE,0
hasoc_hi_3026,sir ap se ak rquest h ak bar fir ap Mulayam ji ko aage kr de dekhey parti bhut aage jaygi,NOT,NONE,NONE,0
hasoc_hi_4685,"फूल की काँटों से दोस्ती बेमिसाल है  काँटे कितना दर्द फूलों को देते हैं  फिर भी फूल मुस्कुराते हुए खिलते हैं  काँटों को भी तो देखो , फूलों की रक्षा करते हैं  खुद दर्द सहकर फूलों को महफूज़ रखते हैं ।    #आपकी_काँची  #हिंदी_शब्द  #शब्दनिधि",NOT,NONE,NONE,0
hasoc_hi_5634,Question Hour in Rajya Sabha.  1. संस्कृत महाविद्यालय ।  https://m.facebook.com/story.php?story_fbid=443161759855093&id=464554060349094 …,NOT,NONE,NONE,0
hasoc_hi_3807,"राजधानी दिल्ली में गर्मी का कहर जारी, आज शाम हल्की बारिश की संभावना    #rain   https://abpnews.abplive.in/india-news/heat-rises-in-delhi-the-possibility-of-light-rain-this-evening-1157497 …",NOT,NONE,NONE,0
hasoc_hi_6113,#कुत्ते और #मुर्गे आदि लड़वाने वालों बेज़ुबान #जानवरों से भी बद तरीन और #लानती हैवान नुमा #इंसान है जो दुनिया के चंद #सिक्कों के लिए यह घिनौनी काम करते हैं,NOT,NONE,NONE,0
hasoc_hi_304,"लोन देने के नाम पर बैंक निजी फाईनैंस कंपनियां पूरे देश को लूट रही हैं और देश का प्रधानमंत्री योग करना सिखा रहा है,",NOT,NONE,NONE,0
hasoc_hi_5551,"#BEDTET2011बेरोजगार  @narendramodi @myogiadityanath यह कैसे देश/प्रदेश के तानाशाह मुखिया हैँ जो #BEdTET2011 के बेरोजगारों की #दयनीय हालत पे आँख बंद किये मदमस्त हैँ...#गूंगे,#बेहरे,#कुत्ते,#कमीने..नेताओं से भी बदतर..  @AmitShah  @drdineshbjp @DrMNPandeyMP @kpmaurya1 @RSSorg @Swamy39",NOT,NONE,NONE,0
hasoc_hi_31,Proud of @AdvAshwaniDubey Ji    आज सोनभद्र सिंगरौली क्षेत्र में साँसों से कोयला लेने को मजबूर करोड़ो लोगों को साफ हवा का अहसास करवाया    गैरकानूनी तरीके से चल रहे 5000 कोयला ट्रक बंद करवाये    लड़ाई लम्बी हैं पर इरादे मज़बूत है  #SingrauliPollution,NOT,NONE,NONE,0
hasoc_hi_5122,जिस देश में #कन्हैया_कुमार जैसा पढ़ा लिखा युवा हार जाए #आतंकवादी_प्रज्ञा जीत जाए  उस देश की जनता का   भगवान भला करे  @pankhuripathak @kanhaiyakumar @DrKumarVishwas @satender1234123 @LambaAlka @shaila_rashid,NOT,NONE,NONE,0
hasoc_hi_7797,इस बात की उम्‍मीद है कि आम बजट में वित्‍त मंत्री निर्मला सीतारमण मिनिमम बैंलेस को लेकर कुछ अहम ऐलान कर सकती हैं #Budget2019 #Modinomics19,NOT,NONE,NONE,0
hasoc_hi_4815,Chad gundan ki chati PE......10 sheet le gyi haati wali.....Aur babua ke haate me de gayi katora.......,NOT,NONE,NONE,0
hasoc_hi_2546,"#कमल_हासन अपने विचार रखने के लिए आज़ाद है,  तो फिर #प्रज्ञा_ठाकुर क्यो नही?  क्या इस देश मे #अभिव्यक्ति_की_आज़ादी की दो परिभाषाये है?",NOT,NONE,NONE,0
hasoc_hi_6437,बाबा साहब डॉ० भीम राव अम्बेडकर ही हमारे 'महादेव' हैं...।।  वो अमर होकर आज भी हमारी सुरक्षा कर रहे हैं...।।  बाबा साहब की जय हो...,NOT,NONE,NONE,0
hasoc_hi_4283,सूअर शब्द किसके लिए इस्तेमाल किया जाता है ? जस्ट पुचिंग,NOT,NONE,NONE,0
